Time_s,GT_Amplitude,Measured_Amplitude,Frequency_Hz,GT_PSD_dBHz,Measured_PSD_dBHz
0,-3.13011261915558,-0.415768310427909,0,-4.10422328359313,-19.61831449356
0.001,-6.7507136811097,-0.532500377648194,0.1220703125,-6.55335911278851,-22.0843004449271
0.002,-10.2031291760036,-0.614869035248604,0.244140625,-29.6642716713156,-44.9928487901081
0.003,-13.3306653355817,-0.662085745369601,0.3662109375,-63.8301464926581,-64.6158981803456
0.004,-15.9958449734031,-0.676717228064916,0.48828125,-44.8317378049656,-55.7476863922144
0.005,-18.0884216854241,-0.66422327892346,0.6103515625,-45.0947927966653,-56.1947152440328
0.006,-19.5319597576097,-0.63206107102755,0.732421875,-48.9929337770504,-57.4823859669806
0.007,-20.2885115263849,-0.588551123527602,0.8544921875,-58.9100513106852,-57.0123519722224
0.008,-20.3609734942864,-0.541749054757726,0.9765625,-57.0509291274781,-57.9717204632398
0.009,-19.7928254285607,-0.49855204883985,1.0986328125,-50.2686736030993,-56.2154863924047
0.01,-18.6651422953591,-0.464191589418019,1.220703125,-47.9317588782489,-58.4143340826641
0.011,-17.0909903158995,-0.442144743019957,1.3427734375,-47.5923018804393,-57.0374542123446
0.012,-15.207544608327,-0.434376197921427,1.46484375,-48.7671238668973,-59.4114258542639
0.013,-13.1664684298324,-0.441747193929827,1.5869140625,-51.6944097768981,-60.7953964927823
0.014,-11.1232494250298,-0.464418587739367,1.708984375,-57.5588485807522,-58.6408797551652
0.015,-9.22627997803133,-0.502126141121909,1.8310546875,-64.1877660140432,-60.5497520100246
0.016,-7.60649097864427,-0.554287598867053,1.953125,-56.323023219715,-60.4052501000866
0.017,-6.36830730546262,-0.619976459292414,2.0751953125,-52.6042034484491,-61.2904743559982
0.018,-5.58260170145146,-0.697837465510083,2.197265625,-51.2574336956297,-63.5194798426615
0.019,-5.28219093073121,-0.786015788721807,2.3193359375,-51.5263015198923,-61.7454115781951
0.02,-5.4602462177448,-0.882138400034366,2.44140625,-53.2467548945737,-61.1666357374841
0.021,-6.07177899516593,-0.983343173357824,2.5634765625,-56.8387242994052,-62.972585055547
0.022,-7.03812052903733,-1.08631927662137,2.685546875,-61.6755309815163,-64.9172495845868
0.023,-8.25405981017897,-1.18731757477833,2.8076171875,-59.3986610946113,-65.4207224895628
0.024,-9.59706597709579,-1.28211548637578,2.9296875,-54.9269775149074,-63.0499853353103
0.025,-10.9378273563871,-1.36596367143842,3.0517578125,-53.1387561925091,-63.4686868521345
0.026,-12.1512115254102,-1.43358267914549,3.173828125,-52.4087205474983,-61.4942992225778
0.027,-13.1267048134041,-1.47929993937744,3.2958984375,-52.6168685736965,-61.703810128795
0.028,-13.7774321986917,-1.49740644982354,3.41796875,-57.2051251447716,-64.103310380493
0.029,-14.0469866267729,-1.4827596255737,3.5400390625,-54.5011666992588,-61.3605093615693
0.03,-13.913496691444,-1.43157436901286,3.662109375,-51.0114259120144,-56.9276691679849
0.031,-13.3906113375295,-1.34225749770615,3.7841796875,-45.6515971712307,-52.279170144915
0.032,-12.5253545527106,-1.216085093302,3.90625,-49.4719798057578,-55.486700983205
0.033,-11.3930780797741,-1.05752466688621,4.0283203125,-49.8702526383871,-59.4843904634871
0.034,-10.0899947922395,-0.87407237659288,4.150390625,-50.224525828221,-58.3065442511033
0.035,-8.72398981605601,-0.675589860108649,4.2724609375,-54.4696784610714,-61.3434277307442
0.036,-7.40456160691097,-0.473245694054995,4.39453125,-50.5485769854793,-55.9809590786954
0.037,-6.23282394148543,-0.278256766124138,4.5166015625,-49.0576509535268,-54.7862734010852
0.038,-5.29249079798705,-0.10066439347515,4.638671875,-48.3017521603538,-57.1267187064841
0.039,-4.64266731260346,0.0516397649634368,4.7607421875,-49.0882527261739,-57.795702794061
0.04,-4.31309049089442,0.17349884052639,4.8828125,-48.7589638680411,-53.9307895844456
0.041,-4.30222266489173,0.262658440675626,5.0048828125,-46.8429112205697,-54.0331496589524
0.042,-4.57832510029355,0.31959723803456,5.126953125,-49.7847487167938,-58.0343050884201
0.043,-5.08335667867558,0.347169548855156,5.2490234375,-49.2879254749916,-55.2051283640859
0.044,-5.73927928334024,0.350213285213803,5.37109375,-47.1708840298645,-53.5718462086733
0.045,-6.45613008740348,0.335219388594163,5.4931640625,-48.7461425398111,-54.4560479305651
0.046,-7.14106042693473,0.310071509944603,5.615234375,-49.1223714669668,-57.2368359474826
0.047,-7.7074563109257,0.283787682575786,5.7373046875,-49.2153457584195,-57.3004209941707
0.048,-8.08325623456582,0.266154145605937,5.859375,-51.327129504313,-56.1536311484689
0.049,-8.21766955897979,0.267143496821779,5.9814453125,-48.8075047353187,-57.3213788842298
0.05,-8.08566604209324,0.296058996445533,6.103515625,-49.6929316995971,-58.1653563495802
0.051,-7.68983756478977,0.360441016003614,6.2255859375,-49.2026743978837,-56.1588316142053
0.052,-7.05950184343433,0.464885054455563,6.34765625,-50.518499738959,-56.962151885998
0.053,-6.2471947216133,0.610008626980517,6.4697265625,-46.9072984466898,-54.6142542917742
0.054,-5.32295139316842,0.791825804690595,6.591796875,-49.0290063275522,-56.5802724326107
0.055,-4.36698125532251,1.00172821424689,6.7138671875,-45.6760821247826,-54.3970510358899
0.056,-3.46147916933603,1.22714820028773,6.8359375,-48.2633146417365,-55.5662133230309
0.057,-2.68238119926701,1.45283674567832,6.9580078125,-48.2740481564392,-55.2452424057207
0.058,-2.09186552568177,1.66257128369796,7.080078125,-45.4013817520661,-52.8961580185165
0.059,-1.7323215633748,1.84104278092532,7.2021484375,-46.8989752871872,-55.0175659512306
0.06,-1.62236624017915,1.97565909836966,7.32421875,-50.1693900426356,-58.4680631544712
0.061,-1.75528464261834,2.05803047627406,7.4462890625,-49.4839432118779,-57.5018757940556
