Time_s,GT_Amplitude,Measured_Amplitude,Frequency_Hz,GT_PSD_dBHz,Measured_PSD_dBHz
0,0.0120462618417534,0.721996526164469,0,-10.2895477833185,-104.456160886827
0.001,1.45259468234428,1.79233459622194,0.48828125,-11.4103700847465,-100.963561885915
0.002,2.63236151591985,2.65187199277183,0.9765625,-26.7830230559094,-100.460854784905
0.003,3.36426880101328,3.19383823550712,1.46484375,-51.9327192436699,-100.794998702395
0.004,3.58170902463179,3.38504329013992,1.953125,-71.2528185251968,-101.380752957997
0.005,3.342672026484,3.26451867848076,2.44140625,-54.8454867449923,-101.053636041733
0.006,2.79539022334178,2.92177522863775,2.9296875,-50.109133292081,-100.418912267204
0.007,2.1227882745504,2.4643411661932,3.41796875,-51.8972375650722,-100.556370290818
0.008,1.48725289432309,1.98655617578095,3.90625,-63.5009594825958,-101.184598441964
0.009,0.992835392749735,1.54907621155901,4.39453125,-57.7743985068172,-101.050270879431
0.01,0.672725067094328,1.17297597729279,4.8828125,-52.7267509518618,-100.330746272822
0.011,0.500098386909118,0.846743311035919,5.37109375,-53.9418111139882,-100.250265936479
0.012,0.413620207180787,0.541112781578558,5.859375,-62.7752802564099,-100.853787596315
0.013,0.346425445124625,0.225992688953731,6.34765625,-62.3988275579636,-100.929992926727
0.014,0.249001326359498,-0.115343497431361,6.8359375,-55.5518966149977,-100.184561901077
0.015,0.100534598230703,-0.478332842198002,7.32421875,-55.8347513686618,-99.8775594818753
0.016,-0.0918663986253562,-0.837466962554093,7.8125,-62.648398350573,-100.383820278899
0.017,-0.302745713838917,-1.15447305643481,8.30078125,-67.3991074309399,-100.636435194183
0.018,-0.501365622807716,-1.39085100838337,8.7890625,-58.0644413075559,-99.9352495089138
0.019,-0.663137957049952,-1.51949732862436,9.27734375,-57.4347520825031,-99.4269151698432
0.02,-0.776085372454649,-1.53124134505045,9.765625,-62.6859639528423,-99.7621958981562
0.021,-0.841433248293693,-1.43533205753508,10.25390625,-73.6129726224669,-99.970304017661
0.022,-0.869558933569535,-1.25565731795194,10.7421875,-60.4062945393401,-99.797335108634
0.023,-0.873747677492794,-1.02515090879376,11.23046875,-58.8248516147624,-98.7558825312588
0.024,-0.864393611998727,-0.78008151814988,11.71875,-62.830623316032,-98.4082052934973
0.025,-0.845630435887639,-0.554926999547086,12.20703125,-84.300290476624,-99.4300159830376
0.026,-0.815206695659075,-0.377812775697099,12.6953125,-62.7299218178865,-98.0283257900907
0.027,-0.767132328495807,-0.266379105968274,13.18359375,-59.9993217168136,-97.8117408848221
0.028,-0.695657594807021,-0.22463837301086,13.671875,-63.000819724199,-96.4934579705245
0.029,-0.598844195749003,-0.242162129885707,14.16015625,-78.9182668673166,-94.1689290103575
0.03,-0.480400618505363,-0.296726208227445,14.6484375,-64.839889344418,-92.0963804225749
0.031,-0.349303113891846,-0.360247903629411,15.13671875,-60.8009944808924,-89.1362687741141
0.032,-0.217590711641284,-0.4063110630456,15.625,-63.4092121685515,-86.3117280374515
0.033,-0.0972855239817544,-0.416645381621499,16.11328125,-69.8870537670934,-86.01754816486
0.034,0.00246706985240821,-0.384137718656244,16.6015625,-64.826775399668,-84.8994545502666
0.035,0.0771743491757893,-0.311494187633635,17.08984375,-62.2869571628279,-84.9624634422
0.036,0.127294137611031,-0.207020768453131,17.578125,-60.9294290214933,-80.5898199431668
0.037,0.157181771898319,-0.0807006910199425,18.06640625,-63.8617020523229,-77.0473774357044
0.038,0.173203884849184,0.0567613054071646,18.5546875,-61.8652354399292,-76.2698821672065
0.039,0.181701601072222,0.192084042878254,19.04296875,-57.8075024239782,-74.8145716568816
0.04,0.187432497475861,0.307933858584772,19.53125,-62.3643452370679,-72.1719983091802
0.041,0.192902521909689,0.385470522646736,20.01953125,-58.1587793443789,-68.4888831437366
0.042,0.19867153928126,0.411579316200676,20.5078125,-57.1776555926923,-68.0985660075491
0.043,0.204353953568842,0.387199781717355,20.99609375,-58.0688409794036,-70.2795837071978
0.044,0.209765355918981,0.331147991454637,21.484375,-57.1706977183086,-67.9622214611232
0.045,0.215632638644471,0.275838080149244,21.97265625,-58.3060236418779,-65.9278655380757
0.046,0.223536397687336,0.255829020753634,22.4609375,-55.8979749602666,-63.5883328228366
