Time_s,Ground_Truth_Amplitude,Measured_Amplitude,Frequency_Hz,Measured_PSD_dBHz,Ground_Truth_PSD_dBHz
0,0.436464249309483,0.371113292671635,0,-6.8191723168069,-12.6771751295919
0.001,0.422347406951637,0.379665493891081,0.48828125,-7.92601362483652,-13.6901647877583
0.002,0.433158676338433,0.388147736363942,0.9765625,-22.9110452063855,-26.6901969035959
0.003,0.426880698354547,0.396548169714953,1.46484375,-39.8088442291023,-35.1092201982367
0.004,0.437478031618203,0.404855197863927,1.953125,-43.4408152095657,-38.0467211299087
0.005,0.447958367969033,0.413057521688454,2.44140625,-44.0511540109648,-40.6024604787841
0.006,0.446555139568267,0.421144179997916,2.9296875,-43.9116540038058,-40.9943843162757
0.007,0.42837470791808,0.429104588499987,3.41796875,-46.458788796651,-40.2161896666139
0.008,0.424638434777593,0.436928576479213,3.90625,-46.8813638620556,-41.7828293212107
0.009,0.42989288096029,0.444606420948483,4.39453125,-48.3570164187934,-42.5041589302245
0.01,0.426024442712713,0.452128878078517,4.8828125,-47.2528078934015,-42.8116956246608
0.011,0.4024397548265,0.459487211758221,5.37109375,-46.1840308938849,-44.3227376903486
0.012,0.425439262021493,0.466673219186849,5.859375,-52.7918525909936,-45.282811719747
0.013,0.407799364609623,0.473679253441525,6.34765625,-52.5695925788313,-47.0706607322171
0.014,0.418395738411817,0.480498242995705,6.8359375,-52.0470178711706,-47.1313802538542
0.015,0.415700877866023,0.487123708185126,7.32421875,-50.4491609240493,-50.6218465304847
0.016,0.399677637088637,0.493549774632352,7.8125,-54.9032983905353,-53.5567957550528
0.017,0.39699098831845,0.499771183655148,8.30078125,-58.6112162661325,-55.5817275077015
0.018,0.414395066710297,0.505783299700972,8.7890625,-53.7412593569328,-56.1573518320428
0.019,0.404077366825207,0.511582114869298,9.27734375,-53.8473590897538,-56.0408477053839
0.02,0.417607078168377,0.517164250602215,9.765625,-58.609986147158,-59.4009823828922
0.021,0.43113125732005,0.522526956638553,10.25390625,-66.8422689858307,-60.8800019293013
0.022,0.423114428653297,0.52766810733616,10.7421875,-56.9394805919693,-58.1086987656195
0.023,0.42170499762522,0.532586195471782,11.23046875,-55.2899820069553,-59.4424178700735
0.024,0.429988183565023,0.537280323630677,11.71875,-58.9868715805404,-60.4038308719216
0.025,0.435608201466567,0.541750193300576,12.20703125,-75.3423709324408,-62.4859530885126
0.026,0.444944599444307,0.545996091787883,12.6953125,-58.8637910469676,-61.2448934112253
0.027,0.454613075563073,0.550018877077456,13.18359375,-56.7586969202446,-59.55018146692
