,,,,,,50-70,,70-90,,90-110,,110-130,
ECG RR interval,BCG RR interval,,Mean interval,Difference,,Accuracy,PCC,Accuracy,PCC,Accuracy,PCC,Accuracy,PCC
0.804,0.785,,0.7945,0.019,,0.9741,0.8963,0.9642,0.9564,0.9863,0.9004,0.9798,0.9421
0.824,0.8,,0.812,0.024,,0.9951,0.9787,0.9801,0.9648,0.9856,0.8812,0.9725,0.9764
0.864,0.835,,0.8495,0.029,,0.9904,0.9751,0.9997,0.9107,0.98,0.8507,0.9829,0.8612
0.868,0.86,,0.864,0.008,,0.9797,0.9734,0.9807,0.9077,0.9808,0.8518,0.9995,0.8082
0.906,0.875,,0.8905,0.031,,0.9723,0.9563,0.9926,0.9764,0.9915,0.9084,0.9745,0.9601
0.864,0.85,,0.857,0.014,,0.9763,0.9519,0.9922,0.9442,0.9968,0.933,0.9711,0.8942
0.908,0.87,,0.889,0.038,,0.9678,0.9578,0.9937,0.9644,0.98,0.8433,0.9988,0.9659
0.886,0.87,,0.878,0.016,,0.9891,0.9777,0.9813,0.9076,0.981,0.8765,0.9957,0.9436
0.908,0.87,,0.889,0.038,,0.9801,0.9626,0.9799,0.8349,0.9832,0.8354,0.9799,0.961
0.866,0.86,,0.863,0.006,,0.9718,0.9758,0.9933,0.9859,0.9853,0.9289,0.999,0.9638
0.884,0.855,,0.8695,0.029,,0.973,0.981,0.9916,0.9688,0.9922,0.9386,0.9952,0.9419
0.868,0.855,,0.8615,0.013,,0.975,0.9539,0.9855,0.9387,0.9899,0.9576,0.9799,0.9069
0.882,0.855,,0.8685,0.027,,0.9695,0.9655,0.9882,0.9647,0.9833,0.877,0.9791,0.9186
0.87,0.84,,0.855,0.03,,0.9717,0.9453,0.9798,0.892,0.9905,0.9557,0.9851,0.8222
0.884,0.87,,0.877,0.014,,0.9745,0.962,0.9716,0.9244,0.9839,0.9572,0.9926,0.9639
0.904,0.87,,0.887,0.034,,0.9798,0.9737,0.9938,0.9744,0.9919,0.9278,0.982,0.9393
0.868,0.845,,0.8565,0.023,,0.9898,0.9925,0.9905,0.9451,0.997,0.9574,0.9766,0.956
0.886,0.855,,0.8705,0.031,,0.9754,0.9398,0.9811,0.9585,0.9902,0.8838,0.9772,0.8157
0.866,0.865,,0.8655,0.001,,0.9804,0.9944,0.98,0.8961,0.9857,0.9202,0.9785,0.8146
0.904,0.87,,0.887,0.034,,0.9993,0.9456,0.9707,0.9013,0.9861,0.9016,0.9823,0.9194
0.87,0.845,,0.8575,0.025,,0.9897,0.9784,0.9813,0.9146,0.9833,0.8945,0.9923,0.9411
0.886,0.855,,0.8705,0.031,,0.9896,0.9344,0.9825,0.9299,0.9936,0.9497,0.9797,0.9329
0.884,0.88,,0.882,0.004,,0.9911,0.9722,0.995,0.9242,0.9901,0.943,0.9803,0.7115
0.928,0.895,,0.9115,0.033,,0.9808,0.991,0.9719,0.9301,0.9853,0.9289,0.9922,0.8968
0.886,0.875,,0.8805,0.011,,0.9802,0.95,0.9802,0.8659,0.98,0.8445,0.9788,0.7876
0.902,0.875,,0.8885,0.027,,0.9995,0.9489,0.9991,0.9894,0.9887,0.8901,0.9729,0.9599
0.908,0.865,,0.8865,0.043,,0.9782,0.9288,0.9822,0.9083,0.9802,0.8438,0.9816,0.9229
0.87,0.86,,0.865,0.01,,0.9804,0.9488,0.9904,0.9844,0.9922,0.9508,0.9803,0.9088
0.882,0.86,,0.871,0.022,,0.9654,0.84,0.9684,0.9468,0.9994,0.9526,0.9782,0.8508
0.908,0.875,,0.8915,0.033,,0.997,0.9882,0.9869,0.9601,0.9809,0.9637,0.9844,0.9168
0.788,0.81,,0.799,-0.022,,0.9999,0.9734,0.995,0.9767,0.9902,0.9502,0.9818,0.8714
0.828,0.805,,0.8165,0.023,,0.9878,0.946,0.9806,0.97,0.9823,0.8289,0.9841,0.8185
0.786,0.79,,0.788,-0.004,,0.9795,0.9693,0.9798,0.94,0.9804,0.8971,0.9794,0.9081
0.83,0.835,,0.8325,-0.005,,0.9992,0.9731,0.9923,0.988,0.9728,0.937,0.9808,0.9064
0.848,0.83,,0.839,0.018,,0.9931,0.965,0.9902,0.975,0.9969,0.9761,0.9938,0.814
