Short-sleeved,,,Shirt,,,Sweater,,,Down jacket,,,Sitting,,,Typing,,,Walking,
Accuracy,PCC,,Accuracy,PCC,,Accuracy,PCC,,Accuracy,PCC,,Accuracy,PCC,,Accuracy,PCC,,Accuracy,PCC
0.9991,0.9894,,0.9741,0.8963,,0.9807,0.9077,,0.9797,0.9457,,0.9807,0.9077,,0.9903,0.9382,,0.9867,0.8597
0.9822,0.9083,,0.9951,0.9787,,0.9926,0.9764,,0.9972,0.9777,,0.9926,0.9764,,0.9892,0.9008,,0.9896,0.9621
0.9904,0.9844,,0.9642,0.9564,,0.9922,0.9442,,0.9783,0.9641,,0.9922,0.9442,,0.981,0.8732,,0.9808,0.8138
0.9723,0.9563,,0.9801,0.9648,,0.9937,0.9644,,0.9699,0.9366,,0.9937,0.9644,,0.9819,0.8803,,0.9885,0.7569
0.9684,0.9468,,0.9904,0.9751,,0.9813,0.9076,,0.99,0.9884,,0.9813,0.9076,,0.9782,0.8306,,0.9771,0.9834
0.9869,0.9601,,0.9997,0.9107,,0.9799,0.8349,,0.9805,0.9731,,0.9799,0.8349,,0.9807,0.8039,,0.9961,0.9454
0.995,0.9767,,0.9933,0.9859,,0.9707,0.9013,,0.9783,0.9219,,0.995,0.9767,,0.9777,0.8681,,0.9929,0.9406
0.9806,0.97,,0.9863,0.9004,,0.9813,0.9146,,0.9815,0.9482,,0.9806,0.97,,0.9918,0.953,,0.9958,0.9536
0.9798,0.94,,0.9797,0.9734,,0.9825,0.9299,,0.9714,0.8619,,0.9798,0.94,,0.9899,0.9126,,0.994,0.9537
0.9923,0.988,,0.9916,0.9688,,0.995,0.9242,,0.9689,0.9727,,0.9923,0.988,,0.9805,0.8496,,0.9796,0.8264
0.9902,0.975,,0.9855,0.9387,,0.9719,0.9301,,0.9972,0.9864,,0.9902,0.975,,0.9808,0.8978,,0.9818,0.9072
0.9795,0.9306,,0.9882,0.9647,,0.9802,0.8659,,0.9256,0.9201,,0.9795,0.9306,,0.9765,0.889,,0.9808,0.8074
0.9746,0.9738,,0.9798,0.892,,0.98,0.9196,,0.9802,0.9652,,0.9955,0.9205,,0.9815,0.8279,,0.9863,0.8414
0.9856,0.8812,,0.9716,0.9244,,0.9967,0.9615,,0.9873,0.963,,0.9837,0.8795,,0.9939,0.929,,0.9781,0.8569
0.9622,0.9529,,0.9938,0.9744,,0.9804,0.8499,,0.9808,0.9521,,0.9801,0.9626,,0.9776,0.7435,,0.9805,0.9396
