0,,1,,2,,3,,4,
Accuracy,PCC,Accuracy,PCC,Accuracy,PCC,Accuracy,PCC,Accuracy,PCC
0.9807,0.9077,0.9741,0.8963,0.9933,0.9859,0.9746,0.9738,0.9798,0.892
0.9926,0.9764,0.9951,0.9787,0.9863,0.9004,0.9856,0.8812,0.9716,0.9244
0.9922,0.9442,0.9642,0.9564,0.9797,0.9734,0.9622,0.9529,0.9938,0.9744
0.9937,0.9644,0.9801,0.9648,0.9916,0.9688,0.9802,0.8944,0.9905,0.9451
0.9813,0.9076,0.9904,0.9751,0.9855,0.9387,0.9911,0.9278,0.9811,0.9585
0.9799,0.8349,0.9997,0.9107,0.9882,0.9647,0.9675,0.8985,0.98,0.8961
0.9707,0.9013,0.995,0.9767,0.9991,0.9894,0.98,0.9196,0.9955,0.9205
0.9813,0.9146,0.9806,0.97,0.9822,0.9083,0.9967,0.9615,0.9837,0.8795
0.9825,0.9299,0.9798,0.94,0.9904,0.9844,0.9804,0.8499,0.9801,0.9626
0.995,0.9242,0.9923,0.988,0.9723,0.9563,0.9808,0.9214,0.9957,0.9769
0.9719,0.9301,0.9902,0.975,0.9684,0.9468,0.9851,0.9792,0.9808,0.9322
0.9802,0.8659,0.9795,0.9306,0.9869,0.9601,0.9844,0.9804,0.9757,0.9633
0.994,0.9605,0.9763,0.9519,0.995,0.977,0.9967,0.9868,0.9915,0.9338
0.98,0.9487,0.9917,0.9215,0.9798,0.828,0.975,0.9539,0.973,0.981
0.9803,0.941,0.9678,0.9578,0.9911,0.9659,0.9802,0.9702,0.9968,0.933
0.9893,0.9632,0.9961,0.9763,0.9798,0.9171,0.9799,0.967,0.9787,0.9814
0.9807,0.9602,0.9891,0.9777,0.9824,0.9589,0.996,0.9421,0.9918,0.9391
0.9851,0.8597,0.9803,0.8434,0.9799,0.8235,0.9942,0.8895,0.9812,0.8882
0.9809,0.9412,0.9695,0.9655,0.9745,0.962,0.988,0.9725,0.9899,0.9576
0.9798,0.9538,0.9797,0.8813,0.9807,0.9416,0.9801,0.961,0.9898,0.9925
0.9802,0.9819,0.9816,0.9919,0.9832,0.8354,0.9814,0.9808,0.9833,0.877
0.995,0.931,0.9992,0.9328,0.9853,0.9289,0.9906,0.9271,0.9754,0.9398
0.9908,0.8911,0.9796,0.8976,0.9922,0.9386,0.9797,0.8696,0.9802,0.9083
0.9933,0.9419,0.995,0.9743,0.9798,0.9737,0.981,0.8765,0.9905,0.9557
